nbSyll;pron;origin;warning;remarques;POS;lineId;pageId;motVedette;hwd;pronSampa;pronIpa;pronPos
4;ĕpĭdĕʹrmis;G.;;;n.;29.0;82;epidermis;epidermis;E p @ d 3:r m @ s;ɛpədɜ:rməs;noun
3;ĕʹpĭgrăm;G.;;;n.;32.0;82;epigram;epigram;E p @ g r\ { m;ɛpəgɹæm;noun
4;ĕpĭlĕʹptic;G.;;;a.;35.0;82;epileptic;epileptic;E p @ l E p t i k;ɛpəlɛptik;adjective
3;ĕʹpĭlog_ue_;G.;;;n.;36.0;82;epilogue;epilogue;E p @ l O: g;ɛpəlOːg;noun
4;ĕpĭʹphăny;G.;;;n.;37.0;82;epiphany;epiphany;i p I f @ n i:;ipɪfəniː;noun
4;ĕpĭʹſcŏpal;G.;;;a.;41.0;82;episcopal;episcopal;i p I s k @ p @ l;ipɪskəpəl;adjective
6;epĭſcŏpāʹlĭans;;;;n.;42.0;82;episcopalians;episcopalians;i p I s k @ p eI l i: @ n z;ipɪskəp?liːənz;noun
3;ĕʹpĭsōde;G.;;;n.;43.0;82;episode;episode;E p @ s @U d;ɛpəsoʊd;noun
3;ĕʹpĭʹſtle;G.;;;n.;44.0;82;epistle;epistle;i p I s @ l;ipɪsəl;noun
5;epĭʹſtŏlăry;L.;;;a.;45.0;82;epistolary;epistolary;i p I s t @ l E r\ i:;ipɪstəlɛɹiː;adjective
3;ĕʹpĭtăph;G.;;;n.;46.0;82;epitaph;epitaph;E p @ t { f;ɛpətæf;noun
3;ĕʹpĭthet;G.;;;n.;48.0;82;epithet;epithet;E p @ T E t;ɛpəθɛt;noun
4;ĕpĭʹtŏmè;G.;;;n.;49.0;82;epitome;epitome;i p I 4 @ m i:;ipɪɾəmiː;noun
4;ĕpĭʹtŏmīze;G.;;;v.;50.0;82;epitomize;epitomize;i p I 4 @ m aI z;ipɪɾəm?z;verb
2;ĕʹpoch;G.;;;n.;51.0;82;epoch;epoch;E p @ k;ɛpək;noun
3;ĕʹquable;;;;a.;54.0;82;equable;equable;E k w @ b @ l;ɛkwəbəl;adjective
2;eʹqual;L.;;;a.;55.0;82;equal;equal;i: k w @ l;iːkwəl;adjective
4;equaʹlĭty;L.;;;n.;56.0;82;equality;equality;i k w A l @ 4 i:;ikwɑləɾiː;noun
5;equănĭʹmĭty;L.;;;n.;57.0;82;equanimity;equanimity;i: k w @ n I m i 4 i:;iːkwənɪmiɾiː;noun
4;equāʹtion;L.;;;n.;58.0;82;equation;equation;i k w eI Z @ n;ikw?ʒən;noun
3;equāʹtor;L.;;;n.;59.0;82;equator;equator;i k w eI 4 3:r;ikw?ɾɜ:r;noun
4;ĕquĕʹſtrĭan;L.;;;a.;61.0;82;equestrian;equestrian;i k w E s t r\ i: @ n;ikwɛstɹiːən;adjective
5;equĭăngŭlar;L.;nbSyll>1 et pas d'accent tonic;;a.;62.0;82;equiangular;equiangular;i: k w @ { N g j @ l 3:r;iːkwəæŋgjəlɜ:r;adjective
5;equĭlĭʹbrĭum;L.;;;n.;67.0;82;equilibrium;equilibrium;i: k w @ l I b r\ i: @ m;iːkwəlɪbɹiːəm;noun
5;ĕquĭnŏʹctial;;;;n.;68.0;82;equinoctial;equinoctial;i: k w I n A k S @ l;iːkwɪnɑkʃəl;noun
4;ĕʹquĭnŏxès;;;;n.;69.0;82;equinoxes;equinoxes;i: k w @ n A k s I z;iːkwənɑksɪz;noun
2;equĭʹp;F.;;;v.;70.0;82;equip;equip;i k w I p;ikwɪp;verb
3;ĕʹquĭpage;F.;;;n.;71.0;82;equipage;equipage;E k w I p i dZ;ɛkwɪpi?;noun
3;ĕʹquĭty;;;;n.;5.0;83;equity;equity;E k w @ 4 i:;ɛkwəɾiː;noun
4;equĭʹvălent;L.;;;a.;6.0;83;equivalent;equivalent;i k w I v @ l @ n t;ikwɪvələnt;adjective
4;equĭʹvŏcal;L.;;;a.;7.0;83;equivocal;equivocal;i k w I v @ k @ l;ikwɪvəkəl;adjective
4;equĭʹvŏcăte;;;;v.;8.0;83;equivocate;equivocate;i k w I v @ k eI t;ikwɪvək?t;verb
6;equĭvŏcāʹtion;;;;n.;9.0;83;equivocation;equivocation;i k w i v @ k eI S @ n;ikwivək?ʃən;noun
4;erāʹdĭcāte;L.;;;v.;10.0;83;eradicate;eradicate;i r\ { 4 @ k eI t;iɹæɾək?t;verb
6;erădĭcāʹtion;;;;n.;11.0;83;eradication;eradication;i r\ { 4 @ k eI S @ n;iɹæɾək?ʃən;noun
1;ēre;;;;p.;14.0;83;ere;ere;E r\;ɛɹ;pronoun
2;erĕʹct;;;;a.;15.0;83;erect;erect;i r\ E k t;iɹɛkt;adjective
4;erĕʹction.;;;;n.;16.0;83;erection;erection;i r\ E k S @ n;iɹɛkʃən;noun
2;ĕʹrmĭne;F.;;;n.;19.0;83;ermine;ermine;3:r m @ n;ɜ:rmən;noun
2;erōʹde;;;;v.;20.0;83;erode;erode;i r\ @U d;iɹoʊd;verb
3;erōʹding;;;;n.;21.0;83;eroding;eroding;i r\ @U 4 i N;iɹoʊɾiŋ;noun
1;err;L.;;;v.;22.0;83;err;err;E r\;ɛɹ;verb
2;ĕʹrrănd;;;;n.;23.0;83;errand;errand;E r\ @ n d;ɛɹənd;noun
2;eʹrrănt;L.;;;a.;24.0;83;errant;errant;E r\ @ n t;ɛɹənt;adjective
3;errăʹtic;L.;;;a.;26.0;83;erratic;erratic;i r\ { 4 i k;iɹæɾik;adjective
4;ĕrrōʹne_o_us;L.;;;a.;27.0;83;erroneous;erroneous;E r\ @U n i: @ s;ɛɹoʊniːəs;adjective
2;ĕʹrror;L.;;;n.;28.0;83;error;error;E r\ 3:r;ɛɹɜ:r;noun
5;erūdĭʹtion;;;;n.;32.0;83;erudition;erudition;E r\ @ d I S @ n;ɛɹədɪʃən;noun
4;erūʹption;L.;;;n.;33.0;83;eruption;eruption;i r\ V p S @ n;iɹʌpʃən;noun
3;ĕſpălieʹr;F.;;;n.;44.0;83;espalier;espalier;E s p { l j 3:r;ɛspæljɜ:r;noun
5;eſpĕʹcĭally;;;;p.;46.0;83;especially;especially;@ s p E S l i:;əspɛʃliː;pronoun
3;ĕſplănāʹde;;;;n.;47.0;83;esplanade;esplanade;E s p l @ n A d;ɛsplənɑd;noun
2;eſpyʹ;;;;v.;50.0;83;espy;espy;E s p i:;ɛspiː;verb
2;eſquīʹre;;;;n.;51.0;83;esquire;esquire;E s k w aI r\;ɛskw?ɹ;noun
2;ĕʹſſay;F.;;;n.;53.0;83;essay;essay;E s eI;ɛs?;noun
2;ĕʹſſĕnce;L.;;;n.;54.0;83;essence;essence;E s @ n s;ɛsəns;noun
3;ĕʹſſĕnces;L.;;;n.;55.0;83;essences;essences;E s @ n s i z;ɛsənsiz;noun
3;eſtăʹbliſh;F.;;;v.;59.0;83;establish;establish;i s t { b l i S;istæbliʃ;verb
4;eſtăʹblĭſhment;F.;;;n.;60.0;83;establishment;establishment;i s t { b l i S m @ n t;istæbliʃmənt;noun
2;eſtāʹte;F.;;;n.;61.0;83;estate;estate;i s t eI t;ist?t;noun
2;eſteeʹm;F.;;;n.;62.0;83;esteem;esteem;@ s t i: m;əstiːm;noun
4;ĕʹſtĭmable;;;;a.;63.0;83;estimable;estimable;E s t @ m @ b @ l;ɛstəməbəl;adjective
3;ĕʹſtĭmāte;L.;;;v.;64.0;83;estimate;estimate;E s t @ m @ t;ɛstəmət;verb
2;ĕſtrāʹnge;F.;;;v.;65.0;83;estrange;estrange;E s t r\ eI n dZ;ɛstɹ?n?;verb
2;ĕʹtching;;;;n.;68.0;83;etching;etching;E tS i N;ɛ?iŋ;noun
3;etĕʹrnal;F.;;;a.;69.0;83;eternal;eternal;i t 3:r n @ l;itɜ:rnəl;adjective
4;etĕʹrnĭty;;;;n.;70.0;83;eternity;eternity;i t 3:r n @ 4 i:;itɜ:rnəɾiː;noun
4;ethēʹrėȧl;;;;a.;72.0;83;ethereal;ethereal;i T I r\ i: @ l;iθɪɹiːəl;adjective
2;ĕʹthics;G.;;;n.;73.0;83;ethics;ethics;E T i k s;ɛθiks;noun
2;ĕʹthnĭc;G.;;;a.;2.0;84;ethnic;ethnic;E T n i k;ɛθnik;adjective
4;evăʹcūāte;L.;;;v.;6.0;84;evacuate;evacuate;i v { k j @ eI t;ivækjə?t;verb
6;evăcūāʹtion;;;;n.;7.0;84;evacuation;evacuation;i v { k j @ w eI S @ n;ivækjəw?ʃən;noun
2;evāʹde;L.;;;v.;8.0;84;evade;evade;i v eI d;iv?d;verb
5;evăngēʹlĭcal;G.;;;a.;9.0;84;evangelical;evangelical;i: v { n dZ E l i k @ l;iːvæn?ɛlikəl;adjective
4;evăʹpŏrāte;;;;v.;12.0;84;evaporate;evaporate;i v { p 3:r eI t;ivæpɜ:r?t;verb
6;evăpŏrāʹtion;;;;n.;13.0;84;evaporation;evaporation;i v { p 3:r eI S @ n;ivæpɜ:r?ʃən;noun
1;ēve;;;;n.;18.0;84;eve;eve;i: v;iːv;noun
3;ēʹvĕning;;;;n.;20.0;84;evening;evening;i: v n i N;iːvniŋ;noun
3;ēʹvĕnneſs;;;;n.;21.0;84;evenness;evenness;i: v @ n n @ s;iːvənnəs;noun
2;ēvĕʹnt;L.;;;n.;22.0;84;event;event;i v E n t;ivɛnt;noun
4;ēvĕʹntūal;;;;a.;25.0;84;eventual;eventual;@ v E n tS u @ l;əvɛn?uəl;adjective
2;ĕʹvĕr;;;;p.;26.0;84;ever;ever;E v 3:r;ɛvɜ:r;pronoun
3;ĕʹvĕrgreen;;;;n.;27.0;84;evergreen;evergreen;E v 3:r g r\ i: n;ɛvɜ:rgɹiːn;noun
4;ĕvĕrlăʹſting;;;;a.;28.0;84;everlasting;everlasting;E v 3:r l { s t i N;ɛvɜ:rlæstiŋ;adjective
1;ēves;;;;n.;29.0;84;eves;eves;i: v z;iːvz;noun
3;ĕʹvĭdĕnce;L.;;;n.;31.0;84;evidence;evidence;E v @ d @ n s;ɛvədəns;noun
3;ĕʹvĭdent;;;;a.;32.0;84;evident;evident;E v @ d @ n t;ɛvədənt;adjective
2;ēʹvil;;;;n.;33.0;84;evil;evil;i: v @ l;iːvəl;noun
2;evĭʹnce;;;;v.;34.0;84;evince;evince;i v I n s;ivɪns;verb
3;euʹlŏgy;G.;;;n.;36.0;84;eulogy;eulogy;j u l @ dZ i:;julə?iː;noun
5;evŏlūʹtion;L.;;;n.;38.0;84;evolution;evolution;E v @ l u S @ n;ɛvəluʃən;noun
2;euʹrōpe;G.;;;n.;39.0;84;europe;europe;j U r\ @ p;jʊɹəp;noun
4;eurōʹpėȧn;;;;a.;40.0;84;european;european;j U r\ @ p i: @ n;jʊɹəpiːən;adjective
1;ewe;;;;n.;43.0;84;ewe;ewe;j u;ju;noun
2;eʹwer;;;;n.;44.0;84;ewer;ewer;j u 3:r;juɜ:r;noun
2;exăʹct;L.;;;a.;46.0;84;exact;exact;i g z { k t;igzækt;adjective
4;exăʹction;;;;n.;47.0;84;exaction;exaction;i g z { k S @ n;igzækʃən;noun
3;exăʹctneſs;;;;n.;48.0;84;exactness;exactness;i g z { k t n @ s;igzæktnəs;noun
4;exăʹggĕrāte;L.;;;v.;50.0;84;exaggerate;exaggerate;i g z { dZ 3:r eI t;igzæ?ɜ:r?t;verb
6;exăggĕrāʹtion;L.;;;n.;51.0;84;exaggeration;exaggeration;i g z { dZ 3:r eI S @ n;igzæ?ɜ:r?ʃən;noun
2;exaʹlt;L.;;;v.;53.0;84;exalt;exalt;i g z O: l t;igzOːlt;verb
6;exăʹmĭnāʹtion;L.;;;n.;54.0;84;examination;examination;i g z { m @ n eI S @ n;igzæmən?ʃən;noun
3;exăʹmĭne;L.;;;v.;55.0;84;examine;examine;i g z { m i n;igzæmin;verb
3;exăʹmple;;;;n.;56.0;84;example;example;i g z { m p @ l;igzæmpəl;noun
4;exăʹſpĕrāte;L.;;;v.;59.0;84;exasperate;exasperate;i g z { s p 3:r eI t;igzæspɜ:r?t;verb
2;exceeʹd;L.;;;v.;60.0;84;exceed;exceed;i k s i: d;iksiːd;verb
3;exceeʹding;L.;;;a.;61.0;84;exceeding;exceeding;i k s i: 4 i N;iksiːɾiŋ;adjective
2;exceʹl;L.;;;v.;62.0;84;excel;excel;i k s E l;iksɛl;verb
3;ĕʹxcĕllĕnce;L.;;;n.;63.0;84;excellence;excellence;E k s @ l @ n s;ɛksələns;noun
4;ĕʹxcĕllĕncy;L.;;;n.;64.0;84;excellency;excellency;E k s l E n s i:;ɛkslɛnsiː;noun
3;ĕʹxcellent;L.;;;a.;65.0;84;excellent;excellent;E k s @ l @ n t;ɛksələnt;adjective
2;excĕʹpt;;;;p.;67.0;84;except;except;i k s E p t;iksɛpt;pronoun
4;excĕʹption;F.;;;n.;68.0;84;exception;exception;i k s E p S @ n;iksɛpʃən;noun
2;excĕʹſs;L.;;;n.;70.0;84;excess;excess;E k s E s;ɛksɛs;noun
3;excĕʹſſive;;;;a.;71.0;84;excessive;excessive;i k s E s i v;iksɛsiv;adjective
2;exchāʹnge;F.;;;n.;72.0;84;exchange;exchange;i k s tS eI n dZ;iks??n?;noun
3;exchĕʹq_ue_r;;;;n.;73.0;84;exchequer;exchequer;E k s tS E k 3:r;ɛks?ɛkɜ:r;noun
2;excīʹſe;L.;;;n.;3.0;85;excise;excise;E k s aI s;ɛks?s;noun
4;excĭʹſion;L.;;;n.;4.0;85;excision;excision;i k s I Z @ n;iksɪʒən;noun
2;excīʹte;;;;v.;5.0;85;excite;excite;i k s aI t;iks?t;verb
2;exclaiʹm;L.;;;v.;6.0;85;exclaim;exclaim;i k s k l eI m;ikskl?m;verb
5;exclāmāʹtion;;;;n.;7.0;85;exclamation;exclamation;E k s k l @ m eI S @ n;ɛkskləm?ʃən;noun
2;exclūʹde;L.;;;v.;9.0;85;exclude;exclude;i k s k l u d;iksklud;verb
4;exclūʹſion;;;;n.;10.0;85;exclusion;exclusion;i k s k l u Z @ n;ikskluʒən;noun
3;exclūʹſive;L.;;;a.;11.0;85;exclusive;exclusive;i k s k l u s i v;iksklusiv;adjective
5;excŏmmūʹnĭcāte;L.;;;v.;13.0;85;excommunicate;excommunicate;E k s k @ m j u n @ k eI t;ɛkskəmjunək?t;verb
7;excŏmmūnĭcāʹtion;L.;;;n.;14.0;85;excommunication;excommunication;E k s k @ m j u n @ k eI S @ n;ɛkskəmjunək?ʃən;noun
4;excŏʹrĭāte;L.;;;v.;15.0;85;excoriate;excoriate;E k s k O: r\ i: eI t;ɛkskOːɹiː?t;verb
6;excŏrĭāʹtion;;;;n.;16.0;85;excoriation;excoriation;E k s k O: r\ i: eI S @ n;ɛkskOːɹiː?ʃən;noun
3;ĕʹxcrĕment;L.;;;n.;17.0;85;excrement;excrement;E k s k r\ @ m @ n t;ɛkskɹəmənt;noun
4;excrēʹtion;;;;n.;20.0;85;excretion;excretion;i k s k r\ i: S @ n;ikskɹiːʃən;noun
5;excrūʹcĭāting;;;;a.;22.0;85;excruciating;excruciating;i k s k r\ u S i: eI 4 i N;ikskɹuʃiː?ɾiŋ;adjective
3;excŭʹlpāte;L.;;;v.;23.0;85;exculpate;exculpate;E k s k V l p eI t;ɛkskʌlp?t;verb
4;excŭʹrſion;L.;;;n.;24.0;85;excursion;excursion;i k s k 3:r Z @ n;ikskɜ:rʒən;noun
4;excūʹſable;L.;;;a.;25.0;85;excusable;excusable;i k s k j u z @ b @ l;ikskjuzəbəl;adjective
2;excūʹſe;L.;;;v.;26.0;85;excuse;excuse;i k s k j u s;ikskjus;verb
4;ĕʹxēcrable;L.;;;a.;27.0;85;execrable;execrable;E g z E k r\ @ b @ l;ɛgzɛkɹəbəl;adjective
3;ĕʹxĕcūte;L.;;;v.;30.0;85;execute;execute;E k s @ k j u t;ɛksəkjut;verb
5;exĕcūʹtion;;;;n.;31.0;85;execution;execution;E k s @ k j u S @ n;ɛksəkjuʃən;noun
6;exĕcūʹtioner;;;;n.;32.0;85;executioner;executioner;E k s @ k j u S @ n 3:r;ɛksəkjuʃənɜ:r;noun
4;exĕʹcūtive;;;;n.;33.0;85;executive;executive;i g z E k j @ 4 i v;igzɛkjəɾiv;noun
4;exĕʹcŭtor;F.;;;n.;34.0;85;executor;executor;i g z E k j @ 4 3:r;igzɛkjəɾɜ:r;noun
3;exĕʹmplar;L.;;;n.;37.0;85;exemplar;exemplar;i g z E m p l A r\;igzɛmplɑɹ;noun
4;exĕʹmplăry;;;;a.;38.0;85;exemplary;exemplary;i g z E m p l 3:r i:;igzɛmplɜ:riː;adjective
4;exĕʹmplĭfy;L.;;;v.;40.0;85;exemplify;exemplify;i g z E m p l @ f aI;igzɛmpləf?;verb
2;exĕʹmpt;F.;;;n.;41.0;85;exempt;exempt;i g z E m p t;igzɛmpt;noun
4;exĕʹm_p_tion;;;;n.;42.0;85;exemption;exemption;i g z E m p S @ n;igzɛmpʃən;noun
3;eʹxĕrcīſe;F.;;;n.;44.0;85;exercise;exercise;E k s 3:r s aI z;ɛksɜ:rs?z;noun
2;exĕʹrt;L.;;;v.;46.0;85;exert;exert;i g z 3:r t;igzɜ:rt;verb
4;exfŏʹlĭāte;L.;;;v.;47.0;85;exfoliate;exfoliate;E k s f @U l i: eI t;ɛksfoʊliː?t;verb
5;exhālāʹtion;L.;;;n.;48.0;85;exhalation;exhalation;E k s h @ l eI S @ n;ɛkshəl?ʃən;noun
2;exhāʹle;L.;;;v.;49.0;85;exhale;exhale;E k s h eI l;ɛksh?l;verb
2;exhauʹſt;L.;;;v.;50.0;85;exhaust;exhaust;i g z O: s t;igzOːst;verb
3;exhĭʹbit;L.;;;v.;51.0;85;exhibit;exhibit;i g z I b i t;igzɪbit;verb
5;exhĭbiʹtĭon;;;;n.;52.0;85;exhibition;exhibition;E k s @ b I S @ n;ɛksəbɪʃən;noun
4;exhĭʹlărāte;L.;;;v.;53.0;85;exhilarate;exhilarate;i g z I l 3:r eI t;igzɪlɜ:r?t;verb
2;exhŏʹrt;L.;;;v.;54.0;85;exhort;exhort;i g z O: r\ t;igzOːɹt;verb
5;exhŏrtāʹtion;;;;n.;55.0;85;exhortation;exhortation;E g z O: r\ t eI S @ n;ɛgzOːɹt?ʃən;noun
3;ĕʹxĭgent;L.;;;n.;58.0;85;exigent;exigent;E k s i dZ @ n t;ɛksi?ənt;noun
2;eʹxīle;L.;;;n.;61.0;85;exile;exile;E g z aI l;ɛgz?l;noun
2;exĭʹſt;L.;;;v.;63.0;85;exist;exist;i g z I s t;igzɪst;verb
3;exĭʹſtĕnce;L.;;;n.;64.0;85;existence;existence;E g z I s t @ n s;ɛgzɪstəns;noun
2;eʹxĭt;L.;;;n.;65.0;85;exit;exit;E g z i t;ɛgzit;noun
4;exŏʹnĕrāte;L.;;;v.;66.0;85;exonerate;exonerate;i g z A n 3:r eI t;igzɑnɜ:r?t;verb
4;exŏʹrbĭtant;L.;;;a.;68.0;85;exorbitant;exorbitant;i g z O: r\ b i t @ n t;igzOːɹbitənt;adjective
3;exŏʹrcĭſt.;G.;;;n.;70.0;85;exorcist;exorcist;E k s 3:r s @ s t;ɛksɜ:rsəst;noun
3;exŏʹtic;G.;;;a.;73.0;85;exotic;exotic;i g z A 4 i k;igzɑɾik;adjective
2;expăʹnd;L.;;;v.;2.0;86;expand;expand;i k s p { n d;ikspænd;verb
2;expăʹnſe;L.;;;n.;3.0;86;expanse;expanse;i k s p { n s;ikspæns;noun
4;expăʹnſion.;L.;;;n.;4.0;86;expansion;expansion;i k s p { n S @ n;ikspænʃən;noun
2;expĕʹct;;;;v.;6.0;86;expect;expect;i k s p E k t;ikspɛkt;verb
5;expĕctāʹtion;L.;;;n.;7.0;86;expectation;expectation;E k s p E k t eI S @ n;ɛkspɛkt?ʃən;noun
4;expĕʹdĭĕnt;L.;;;a.;10.0;86;expedient;expedient;i k s p i: 4 i: @ n t;ikspiːɾiːənt;adjective
3;ĕʹxpĕdīte;L.;;;v.;11.0;86;expedite;expedite;E k s p i d aI t;ɛkspid?t;verb
5;expĕdĭʹtion;;;;n.;12.0;86;expedition;expedition;E k s p @ d I S @ n;ɛkspədɪʃən;noun
5;expĕdĭʹti_o_us;;;;a.;13.0;86;expeditious;expeditious;E k s p @ d I S @ s;ɛkspədɪʃəs;adjective
2;expeʹl;;;;v.;14.0;86;expel;expel;i k s p E l;ikspɛl;verb
2;expĕʹnd;;;;v.;16.0;86;expend;expend;i k s p E n d;ikspɛnd;verb
3;expĕʹnſive;;;;a.;17.0;86;expensive;expensive;i k s p E n s i v;ikspɛnsiv;adjective
4;expĕʹrĭence;L.;;;n.;18.0;86;experience;experience;i k s p I r\ i: @ n s;ikspɪɹiːəns;noun
5;expĕʹrĭĕnced;L.;;;a.;19.0;86;experienced;experienced;i k s p I r\ i: @ n s t;ikspɪɹiːənst;adjective
4;expĕʹrĭment;L.;;;n.;20.0;86;experiment;experiment;i k s p E r\ @ m @ n t;ikspɛɹəmənt;noun
5;expĕrĭmĕʹntal;;;;a.;21.0;86;experimental;experimental;i k s p E r\ @ m E n t @ l;ikspɛɹəmɛntəl;adjective
2;expĕʹrt;L.;;;a.;22.0;86;expert;expert;E k s p 3:r t;ɛkspɜ:rt;adjective
3;ĕʹxpĭāte;;;;v.;25.0;86;expiate;expiate;E k s p i: eI t;ɛkspiː?t;verb
5;expīrāʹtion;F.;;;n.;28.0;86;expiration;expiration;E k s p 3:r eI S @ n;ɛkspɜ:r?ʃən;noun
2;expīʹre;;;;v.;29.0;86;expire;expire;i k s p aI r\;iksp?ɹ;verb
3;expīʹring;;;;n.;30.0;86;expiring;expiring;i k s p aI r\ i N;iksp?ɹiŋ;noun
2;explaiʹn;;;;v.;31.0;86;explain;explain;i k s p l eI n;ikspl?n;verb
5;explāʹnātion;;;;n.;32.0;86;explanation;explanation;E k s p l @ n eI S @ n;ɛksplən?ʃən;noun
5;explāʹnătŏry;;;;a.;33.0;86;explanatory;explanatory;i k s p l { n @ t O: r\ i:;iksplænətOːɹiː;adjective
3;ĕʹxplĕtive;L.;;;a.;34.0;86;expletive;expletive;E k s p l @ 4 i v;ɛkspləɾiv;adjective
4;ĕʹxplĭcable;L.;;;a.;35.0;86;explicable;explicable;E k s p l i k @ b @ l;ɛksplikəbəl;adjective
5;explĭcāʹtion;;;;n.;36.0;86;explication;explication;E k s p l @ k eI S @ n;ɛksplək?ʃən;noun
3;explĭʹcit;L.;;;a.;37.0;86;explicit;explicit;i k s p l I s @ t;iksplɪsət;adjective
2;explōʹde;L.;;;v.;38.0;86;explode;explode;i k s p l @U d;iksploʊd;verb
2;exploiʹt;;;;n.;39.0;86;exploit;exploit;E k s p l OI t;ɛkspl?t;noun
2;explōʹre;L.;;;v.;40.0;86;explore;explore;i k s p l O: r\;iksplOːɹ;verb
4;explōʹſion;;;;n.;41.0;86;explosion;explosion;i k s p l @U Z @ n;iksploʊʒən;noun
2;expŏʹrt;L.;;;v.;42.0;86;export;export;E k s p O: r\ t;ɛkspOːɹt;verb
5;expŏrtāʹtion;;;;n.;43.0;86;exportation;exportation;E k s p O: r\ t eI S @ n;ɛkspOːɹt?ʃən;noun
2;expōʹſe;F.;;;v.;44.0;86;expose;expose;i k s p @U z;ikspoʊz;verb
5;expŏsĭʹtion;;;;n.;45.0;86;exposition;exposition;E k s p @ z I S @ n;ɛkspəzɪʃən;noun
2;expreʹſſ;;;;n.;50.0;86;express;express;i k s p r\ E s;ikspɹɛs;noun
4;exprĕʹſſion;;;;n.;51.0;86;expression;expression;i k s p r\ E S @ n;ikspɹɛʃən;noun
3;exprĕʹſſive;;;;a.;52.0;86;expressive;expressive;i k s p r\ E s i v;ikspɹɛsiv;adjective
4;expŭʹlſion;;;;n.;54.0;86;expulsion;expulsion;i k s p V l S @ n;ikspʌlʃən;noun
2;expŭʹnge;;;;v.;56.0;86;expunge;expunge;i k s p V n dZ;ikspʌn?;verb
3;ĕʹxquĭsĭte;L.;;;a.;58.0;86;exquisite;exquisite;E k s k w @ z @ t;ɛkskwəzət;adjective
2;ĕʹxtănt;L.;;;a.;60.0;86;extant;extant;E k s t @ n t;ɛkstənt;adjective
2;extĕʹnd;L.;;;v.;64.0;86;extend;extend;i k s t E n d;ikstɛnd;verb
4;extĕʹnſion;;;;n.;65.0;86;extension;extension;i k s t E n S @ n;ikstɛnʃən;noun
3;extĕʹnsĭve;;;;a.;66.0;86;extensive;extensive;i k s t E n s i v;ikstɛnsiv;adjective
2;extĕʹnt;;;;n.;67.0;86;extent;extent;i k s t E n t;ikstɛnt;noun
4;extĕʹnūāte;L.;;;v.;68.0;86;extenuate;extenuate;i k s t E n j u eI t;ikstɛnju?t;verb
4;extēʹrĭor;L.;;;a.;70.0;86;exterior;exterior;i k s t I r\ i: 3:r;ikstɪɹiːɜ:r;adjective
4;extĕʹrmĭnāte;L.;;;v.;71.0;86;exterminate;exterminate;i k s t 3:r m @ n eI t;ikstɜ:rmən?t;verb
6;extĕrmĭnāʹtion;;;;n.;72.0;86;extermination;extermination;i k s t 3:r m @ n eI S @ n;ikstɜ:rmən?ʃən;noun
3;extĕʹrnal;L.;;;a.;73.0;86;external;external;i k s t 3:r n @ l;ikstɜ:rnəl;adjective
2;extĭʹnct;L.;;;a.;2.0;87;extinct;extinct;i k s t I N k t;ikstɪŋkt;adjective
4;extĭʹnction;;;;n.;3.0;87;extinction;extinction;i k s t I N k S @ n;ikstɪŋkʃən;noun
3;extĭnguiſh;;nbSyll>1 et pas d'accent tonic;;v.;4.0;87;extinguish;extinguish;i k s t I N g w i S;ikstɪŋgwiʃ;verb
3;extiʹrpāte;L.;;;v.;5.0;87;extirpate;extirpate;E k s t 3:r p eI t;ɛkstɜ:rp?t;verb
2;extoʹl;L.;;;v.;7.0;87;extol;extol;i k s t @U l;ikstoʊl;verb
2;extŏʹrt;L.;;;v.;8.0;87;extort;extort;i k s t O: r\ t;ikstOːɹt;verb
4;extŏʹrtion;L.;;;n.;9.0;87;extortion;extortion;i k s t O: r\ S @ n;ikstOːɹʃən;noun
2;extrăʹct;L.;;;v.;11.0;87;extract;extract;i k s t r\ { k t;ikstɹækt;verb
6;extrăŏʹrdĭnăry;L.;;;a.;15.0;87;extraordinary;extraordinary;i k s t r\ O: r\ d @ n E r\ i:;ikstɹOːɹdənɛɹiː;adjective
4;extrăʹvăgănce;L.;;;n.;17.0;87;extravagance;extravagance;i k s t r\ { v @ g @ n s;ikstɹævəgəns;noun
4;extrăʹvăgănt;L.;;;a.;18.0;87;extravagant;extravagant;i k s t r\ { v @ g @ n t;ikstɹævəgənt;adjective
2;extrēʹme;L.;;;a.;20.0;87;extreme;extreme;i k s t r\ i: m;ikstɹiːm;adjective
4;extrĕʹmĭty;L.;;;n.;21.0;87;extremity;extremity;i k s t r\ E m @ 4 i:;ikstɹɛməɾiː;noun
3;ĕʹxtrĭcāte;L.;;;v.;22.0;87;extricate;extricate;E k s t r\ @ k eI t;ɛkstɹək?t;verb
2;extrūʹde;L.;;;v.;24.0;87;extrude;extrude;i k s t r\ u d;ikstɹud;verb
4;extrūʹſion;L.;;;n.;25.0;87;extrusion;extrusion;i k s t r\ u Z @ n;ikstɹuʒən;noun
4;exūʹbĕrănce;L.;;;n.;28.0;87;exuberance;exuberance;i g z u b 3:r @ n s;igzubɜ:rəns;noun
4;exūʹbĕrant;L.;;;a.;29.0;87;exuberant;exuberant;i g z u b 3:r @ n t;igzubɜ:rənt;adjective
2;exŭʹlt;;;;v.;31.0;87;exult;exult;i g z V l t;igzʌlt;verb
5;exŭltāʹtion;L.;;;n.;32.0;87;exultation;exultation;i g z V l t eI S @ n;igzʌlt?ʃən;noun
1;eye;;;;n.;33.0;87;eye;eye;aI;?;noun
1;eyre;;;;n.;36.0;87;eyre;eyre;E r\;ɛɹ;noun
