hwd;pronSampa;ipa
petted(2);p E 4 i d;pɛɾid
tightness;t aI t n @ s;t?tnəs
stokke;s t A k;stɑk
fitzharris;f i t s h { r\ i s;fitshæɹis
kirkby;k 3:r k b i:;kɜ:rkbiː
holly's;h A l i: z;hɑliːz
guimont;g i m A n t;gimɑnt
montesano;m @U n t E s A n @U;moʊntɛsɑnoʊ
curfews;k 3:r f j u z;kɜ:rfjuz
echoes;E k @U z;ɛkoʊz
alusuisse;{ l j u s w I s;æljuswɪs
rearick;r\ I r\ i k;ɹɪɹik
competitive;k @ m p E 4 @ 4 i v;kəmpɛɾəɾiv
spades;s p eI d z;sp?dz
schoenherr;S @U n h 3:r;ʃoʊnhɜ:r
duffin;d V f i n;dʌfin
ledonne;l E d @ n;lɛdən
falls;f O: l z;fOːlz
weissmann;w aI s m @ n;w?smən
hartis;h A r\ 4 i s;hɑɹɾis
carville's;k A r\ v I l z;kɑɹvɪlz
quain;k w eI n;kw?n
shepard's;S E p 3:r d z;ʃɛpɜ:rdz
pluth;p l u T;pluθ
boecker;b @U k 3:r;boʊkɜ:r
deborah(2);d E b r\ @;dɛbɹə
inefficient;i n i f I S @ n t;inifɪʃənt
frisina;f r\ i: s i: n @;fɹiːsiːnə
gnarl;n A r\ l;nɑɹl
exercisable;E k s 3:r s aI z @ b @ l;ɛksɜ:rs?zəbəl
gilpin;g I l p i n;gɪlpin
elapsed;i l { p s t;ilæpst
elisa;@ l i: s @;əliːsə
sorbus;s O: r\ b @ s;sOːɹbəs
notwithstanding;n A t w i T s t { n d i N;nɑtwiθstændiŋ
liles;l aI l z;l?lz
raiser;r\ eI z 3:r;ɹ?zɜ:r
complainer;k @ m p l eI n 3:r;kəmpl?nɜ:r
calpis;k { l p i s;kælpis
boustany;b u s t @ n i:;bustəniː
initiated(2);i n I S i: eI 4 i d;inɪʃiː?ɾid
dicello;d i s E l @U;disɛloʊ
minitel;m I n @ t E l;mɪnətɛl
heave;h i: v;hiːv
dreamy;d r\ i: m i:;dɹiːmiː
riad;r\ i: A d;ɹiːɑd
shockwave;S A k w eI v;ʃɑkw?v
entrail;E n t r\ @ l;ɛntɹəl
colan;k @U l @ n;koʊlən
defraud;d i f r\ O: d;difɹOːd
gammel;g { m @ l;gæməl
spokes;s p @U k s;spoʊks
retardation;r\ i: 4 A r\ d eI S @ n;ɹiːɾɑɹd?ʃən
goodwyn;g U d w I n;gʊdwɪn
harcourt;h A r\ k O: r\ t;hɑɹkOːɹt
geologist;dZ i: A l @ dZ @ s t;?iːɑlə?əst
meson;m eI z A n;m?zɑn
astronauts;{ s t r\ @ n O: t s;æstɹənOːts
fleecy;f l i: s i:;fliːsiː
plas;p l { s;plæs
werry;w E r\ i:;wɛɹiː
skura;s k U r\ @;skʊɹə
linsey-woolsey;l I n z i: w U l z i:;lɪnziːwʊlziː
milosevich;m i l A s i v i tS;milɑsivi?
naomi;n eI @U m i:;n?oʊmiː
activists'(2);{ k t i v i s;æktivis
dowie;d aU i:;d?iː
billboards;b I l b O: r\ d z;bɪlbOːɹdz
d'etre;d E t r\ i:;dɛtɹiː
baybank;b eI b { N k;b?bæŋk
lockneys(2);l A k n i: z;lɑkniːz
carella;k A r\ E l @;kɑɹɛlə
belair(2);b E l E r\;bɛlɛɹ
mild;m aI l d;m?ld
malia;m A l i: @;mɑliːə
imperia;i m p i: r\ i: @;impiːɹiːə
instigators;I n s t @ g eI 4 3:r z;ɪnstəg?ɾɜ:rz
crew;k r\ u;kɹu
procession(2);p r\ @U s E S @ n;pɹoʊsɛʃən
overwhelming;@U v 3:r w E l m i N;oʊvɜ:rwɛlmiŋ
quinoco;k w i n @U k @U;kwinoʊkoʊ
testament;t E s t @ m @ n t;tɛstəmənt
brougher;b r\ aU 3:r;bɹ?ɜ:r
commons;k A m @ n z;kɑmənz
superman;s u p 3:r m @ n;supɜ:rmən
regrouping;r\ i: g r\ u p i N;ɹiːgɹupiŋ
mathematicians;m { T @ m @ t I S @ n z;mæθəmətɪʃənz
advisors(2);@ d v aI z 3:r z;ədv?zɜ:rz
multitudes;m V l t @ t j u d z;mʌltətjudz
foodmaker;f u d m eI k 3:r;fudm?kɜ:r
rakoczy;r\ @ k @U tS i:;ɹəkoʊ?iː
comity;k @U m i 4 i:;koʊmiɾiː
faymonville;f eI m @ n v I l;f?mənvɪl
islands;aI l @ n d z;?ləndz
riggsbee;r\ I g z b i:;ɹɪgzbiː
ritthaler;r\ I T @ l 3:r;ɹɪθəlɜ:r
garda;g A r\ 4 @;gɑɹɾə
beckon;b E k @ n;bɛkən
desperado;d E s p 3:r A 4 @U;dɛspɜ:rɑɾoʊ
endorse;E n d O: r\ s;ɛndOːɹs
ender;E n d 3:r;ɛndɜ:r
crunchy;k r\ V n tS i:;kɹʌn?iː
snider;s n aI 4 3:r;sn?ɾɜ:r
hudnall;h V d n @ l;hʌdnəl
housand;h aU s @ n d;h?sənd
amusements;@ m j u z m @ n t s;əmjuzmənts
murrelet;m 3:r l i t;mɜ:rlit
dietsche;d i: tS;diː?
giannetti;dZ @ n E 4 i:;?ənɛɾiː
frostbite;f r\ O: s t b aI t;fɹOːstb?t
johny;dZ A n i:;?ɑniː
terrorists';t E r\ 3:r i s t s;tɛɹɜ:rists
dunkerley;d V N k 3:r l i:;dʌŋkɜ:rliː
kalberer;k { l b 3:r 3:r;kælbɜ:rɜ:r
statesman's;s t eI t s m @ n z;st?tsmənz
gorgon;g O: r\ g @ n;gOːɹgən
last's;l { s t s;læsts
angelinos(2);{ N g @ l i: n @U z;æŋgəliːnoʊz
kapler(2);k eI p l 3:r;k?plɜ:r
benbrook;b E n b r\ U k;bɛnbɹʊk
dray;d r\ eI;dɹ?
bready;b r\ E 4 i:;bɹɛɾiː
ugolini;u g @U l i: n i:;ugoʊliːniː
circuits;s 3:r k @ t s;sɜ:rkəts
inflates;i n f l eI t s;infl?ts
contacting;k A n t { k t i N;kɑntæktiŋ
unit(2);j u n i t;junit
americans;@ m E r\ @ k @ n z;əmɛɹəkənz
fridays;f r\ aI 4 i: z;fɹ?ɾiːz
cheane's;tS i: n z;?iːnz
townie;t aU n i:;t?niː
musical;m j u z i k @ l;mjuzikəl
atlantis';{ t l { n t i s;ætlæntis
fenjves(2);f E n v E z;fɛnvɛz
rippled;r\ I p @ l d;ɹɪpəld
golson;g @U l s @ n;goʊlsən
regiment;r\ E dZ @ m @ n t;ɹɛ?əmənt
quintela;k w i: n t eI l @;kwiːnt?lə
crabb;k r\ { b;kɹæb
flour(2);f l aU r\;fl?ɹ
fidgits;f I dZ i t s;fɪ?its
nibbles;n I b @ l z;nɪbəlz
schadler(2);S eI d l 3:r;ʃ?dlɜ:r
spiritualists(2);s p I r\ i tS @ w @ l i s s;spɪɹi?əwəliss
remittance(2);r\ @ m I t @ n s;ɹəmɪtəns
kubin;k j u b i n;kjubin
angeloff(2);{ n dZ i l O: f;æn?ilOːf
tsuneo;t s u n i: @U;tsuniːoʊ
ur(2);U r\;ʊɹ
todhunter;t A d h V n t 3:r;tɑdhʌntɜ:r
southers;s V D 3:r z;sʌðɜ:rz
tomatoes;t @ m eI 4 @U z;təm?ɾoʊz
identifiable;aI d E n t @ f aI @ b @ l;?dɛntəf?əbəl
froberg;f r\ @U b 3:r g;fɹoʊbɜ:rg
bulwark;b U l w 3:r k;bʊlwɜ:rk
faberge;f { b 3:r dZ;fæbɜ:r?
cia;s i: @;siːə
vicari;v i: k A r\ i:;viːkɑɹiː
encata's;E n k A t V z;ɛnkɑtʌz
lochner;l A k n 3:r;lɑknɜ:r
lingg;l I N g;lɪŋg
endometrial;E n d @U m E t r\ i: @ l;ɛndoʊmɛtɹiːəl
individualised;I n d i v I dZ u @ l aI z d;ɪndivɪ?uəl?zd
alaniz;{ l @ n i z;æləniz
stepdaughters;s t E p d O: 4 3:r z;stɛpdOːɾɜ:rz
gilbert's;g I l b 3:r t s;gɪlbɜ:rts
downstairs;d aU n s t E r\ z;d?nstɛɹz
herrle;h E r\ @ l;hɛɹəl
volumes;v A l j u m z;vɑljumz
chaser;tS eI s 3:r;??sɜ:r
ramiro;r\ @ m I r\ @U;ɹəmɪɹoʊ
deductibility;d i d V k t @ b I l @ 4 i:;didʌktəbɪləɾiː
recess(2);r\ i: s E s;ɹiːsɛs
leena;l i: n @;liːnə
baffin's;b { f i n z;bæfinz
warfel;w O: r\ f @ l;wOːɹfəl
kafelnikov;k @ f E l n i k O: f;kəfɛlnikOːf
fabulously;f { b j u l @ s l i:;fæbjuləsliː
maude;m O: d;mOːd
cloudiness;k l aU d i: n i s;kl?diːnis
repulsive;r\ i: p V l s i v;ɹiːpʌlsiv
seel;s i: l;siːl
misha;m I S @;mɪʃə
psychiatrists(3);s @ k aI @ t r\ @ s;sək?ətɹəs
abductors(2);@ b d V k t 3:r z;əbdʌktɜ:rz
wojtas;w OI 4 @ s;w?ɾəs
resident's;r\ E z i d @ n t s;ɹɛzidənts
rothman;r\ O: T m @ n;ɹOːθmən
donkeys;d A N k i: z;dɑŋkiːz
vending;v E n d i N;vɛndiŋ
odeon;@U 4 i: @ n;oʊɾiːən
dunne;d V n;dʌn
thomassen(2);t A m @ s @ n;tɑməsən
boomhower;b u m h @U 3:r;bumhoʊɜ:r
oviedo;@U v i: eI 4 @U;oʊviː?ɾoʊ
smeby;s m i: b i:;smiːbiː
casserole;k { s 3:r @U l;kæsɜ:roʊl
shurtz;S 3:r t s;ʃɜ:rts
hambelton;h @ m b E l t @ n;həmbɛltən
disabling(2);d I s eI b l i N;dɪs?bliŋ
clonts;k l A n t s;klɑnts
vitreous;v I t r\ i: @ s;vɪtɹiːəs
carvell(2);k A r\ v E l;kɑɹvɛl
delashmit;d E l @ S m i t;dɛləʃmit
cat;k { t;kæt
behaves;b i h eI v z;bih?vz
ewoldt;j u @U l t;juoʊlt
cavernous;k { v 3:r n @ s;kævɜ:rnəs
tourmaline;t U r\ m @ l i: n;tʊɹməliːn
centurion;s E n t U r\ i: @ n;sɛntʊɹiːən
hexagonal;h E k s { g @ n @ l;hɛksægənəl
tuohey;t u h eI;tuh?
barnhard;b A r\ n h A r\ d;bɑɹnhɑɹd
rashad;r\ @ S A d;ɹəʃɑd
norsk;n O: r\ s k;nOːɹsk
jazzman;dZ { z m { n;?æzmæn
monfils;m A n f i l z;mɑnfilz
shults;S V l t s;ʃʌlts
bovee;b V v i:;bʌviː
halfhearted;h { f h A r\ 4 i d;hæfhɑɹɾid
vanhove;v { n h V v;vænhʌv
misinforming;m i s i n f O: r\ m i N;misinfOːɹmiŋ
president;p r\ E z @ d E n t;pɹɛzədɛnt
westcoast's;w E s t k @U s t s;wɛstkoʊsts
fluhr(2);f l U r\;flʊɹ
painewebber;p eI n w E b 3:r;p?nwɛbɜ:r
comunale;k @U m u n A l i:;koʊmunɑliː
escalates;E s k @ l eI t s;ɛskəl?ts
oslin;A s l i n;ɑslin
provoked;p r\ @ v @U k t;pɹəvoʊkt
cogburn;k A g b 3:r n;kɑgbɜ:rn
ashcroft;{ S k r\ O: f t;æʃkɹOːft
buday;b u 4 eI;buɾ?
selsor;s E l s 3:r;sɛlsɜ:r
klann;k l { n;klæn
borton;b O: r\ t @ n;bOːɹtən
aramis;E r\ @ m i s;ɛɹəmis
scanty;s k { n t i:;skæntiː
lenzen;l E n z @ n;lɛnzən
aspinwall;{ s p i n w O: l;æspinwOːl
aronson;E r\ @ n s @ n;ɛɹənsən
securities';s i k j U r\ @ 4 i: z;sikjʊɹəɾiːz
ashen;{ S @ n;æʃən
tennessee's;t E n @ s i: z;tɛnəsiːz
mewborn;m j u b 3:r n;mjubɜ:rn
zenia;z eI n i: @;z?niːə
highlighting;h aI l aI 4 i N;h?l?ɾiŋ
granulocyte;g r\ @ n u l @U s aI t;gɹənuloʊs?t
ohlinger;@U l i N 3:r;oʊliŋɜ:r
faneuil;f { n j u i l;fænjuil
sulya;s u l j @;suljə
uplift;V p l i f t;ʌplift
meghdar;m E g d A r\;mɛgdɑɹ
undergarments;V n d 3:r g A r\ m @ n t s;ʌndɜ:rgɑɹmənts
upsurge;V p s 3:r dZ;ʌpsɜ:r?
fracture;f r\ { k tS 3:r;fɹæk?ɜ:r
valencienne;v @ l E n s i: E n;vəlɛnsiːɛn
woollen;w U l @ n;wʊlən
ritcey;r\ I t s i:;ɹɪtsiː
barr's;b A r\ z;bɑɹz
casiano;k A s i: A n @U;kɑsiːɑnoʊ
loopy;l u p i:;lupiː
joffe;dZ A f;?ɑf
crissey;k r\ I s i:;kɹɪsiː
receptacles;r\ i s E p t i k @ l z;ɹisɛptikəlz
episcopalian;i p I s k @ p eI l i: @ n;ipɪskəp?liːən
emil;E m i: l;ɛmiːl
weik;w i: k;wiːk
waterworld;w O: 4 3:r w 3:r l d;wOːɾɜ:rwɜ:rld
sais;s eI z;s?z
mellor;m E l 3:r;mɛlɜ:r
warriors(2);w O: r\ j 3:r z;wOːɹjɜ:rz
azzarello;A t s A r\ E l @U;ɑtsɑɹɛloʊ
marth;m A r\ T;mɑɹθ
pietruszka;p i: t r\ V S k @;piːtɹʌʃkə
disfigurement;d i s f I g j 3:r m E n t;disfɪgjɜ:rmɛnt
burck;b 3:r k;bɜ:rk
stemposts(2);s t E m p @U s s;stɛmpoʊss
skywriting;s k aI r\ aI 4 i N;sk?ɹ?ɾiŋ
evictions;i v I k S @ n z;ivɪkʃənz
mosco;m @U s k @U;moʊskoʊ
toxin;t A k s @ n;tɑksən
lubrizol;l u b r\ i z A l;lubɹizɑl
bohm;b A m;bɑm
exhume;E k s h j u m;ɛkshjum
holtz;h @U l t s;hoʊlts
unsubstantiated;V n s @ b s t { n S i: eI 4 i d;ʌnsəbstænʃiː?ɾid
monopolizing;m @ n A p @ l aI z i N;mənɑpəl?ziŋ
bomba;b A m b @;bɑmbə
chef;S E f;ʃɛf
contrarian;k A n t r\ E r\ i: @ n;kɑntɹɛɹiːən
heirlooms;E r\ l u m z;ɛɹlumz
nudelman;n V 4 @ l m @ n;nʌɾəlmən
cintron;s I n t r\ @ n;sɪntɹən
windon;w I n d @ n;wɪndən
conaway;k A n @ w eI;kɑnəw?
raveling(2);r\ { v l i N;ɹævliŋ
trochmann;t r\ A tS m { n;tɹɑ?mæn
veverka;v eI v E r\ k @;v?vɛɹkə
barakat;b A r\ @ k A t;bɑɹəkɑt
faeces;f i: s i: z;fiːsiːz
engelman;E N g @ l m @ n;ɛŋgəlmən
canfor's;k { n f 3:r z;kænfɜ:rz
fingertips;f I N g 3:r t I p s;fɪŋgɜ:rtɪps
fluctuate;f l V k tS @ w eI t;flʌk?əw?t
nickel;n I k @ l;nɪkəl
creditor;k r\ E 4 @ 4 3:r;kɹɛɾəɾɜ:r
buckholtz;b V k h @U l t s;bʌkhoʊlts
amerine;A m 3:r i: n i:;ɑmɜ:riːniː
crepe;k r\ eI p;kɹ?p
heathcote;h E T k @ t;hɛθkət
ecuadorian;E k w @ d O: r\ i: @ n;ɛkwədOːɹiːən
decisiveness;d i s aI s i v n @ s;dis?sivnəs
lundberg;l V n d b 3:r g;lʌndbɜ:rg
writhing;r\ aI D i N;ɹ?ðiŋ
satoshi;s A t @U S i:;sɑtoʊʃiː
ecker;E k 3:r;ɛkɜ:r
petromineral;p E t r\ @U m I n 3:r @ l;pɛtɹoʊmɪnɜ:rəl
conable;k @U n @ b @ l;koʊnəbəl
stice;s t aI s;st?s
waldner;w O: l d n 3:r;wOːldnɜ:r
bonnette;b @ n E t;bənɛt
mounties;m aU n t i: z;m?ntiːz
evildoers;i: v @ l d u 3:r z;iːvəlduɜ:rz
guerillas;g 3:r I l @ z;gɜ:rɪləz
eyetech;aI t E k;?tɛk
psychotherapist;s aI k @ T E r\ @ p i s t;s?kəθɛɹəpist
harping;h A r\ p i N;hɑɹpiŋ
chetniks;tS E t n i k s;?ɛtniks
schetter;S E 4 3:r;ʃɛɾɜ:r
shui;S u i:;ʃuiː
basurto;b A s U r\ 4 @U;bɑsʊɹɾoʊ
kmart;k eI m A r\ t;k?mɑɹt
reflection(2);r\ i f l E k S @ n;ɹiflɛkʃən
lauder(2);l aU 4 3:r;l?ɾɜ:r
erupts;i r\ V p t s;iɹʌpts
rwanda's(2);r\ u A n d @ z;ɹuɑndəz
carozza;k 3:r A z @;kɜ:rɑzə
turkmenistan;t 3:r k m E n i s t { n;tɜ:rkmɛnistæn
baffa;b { f @;bæfə
korpi;k O: r\ p i:;kOːɹpiː
branchless;b r\ { n tS l @ s;bɹæn?ləs
treadaway;t r\ E 4 @ w eI;tɹɛɾəw?
knowingly;n @U i N l i:;noʊiŋliː
coded;k @U 4 i d;koʊɾid
outmode;aU t m @U d;?tmoʊd
tiedt;t i: d t;tiːdt
soya;s OI @;s?ə
anxiety;{ N z aI @ 4 i:;æŋz?əɾiː
lachenbruch;l { k @ n b r\ u k;lækənbɹuk
talbott;t { l b @ t;tælbət
rudge;r\ V dZ;ɹʌ?
slumped;s l V m p t;slʌmpt
headquarters;h E d k w O: r\ 4 3:r z;hɛdkwOːɹɾɜ:rz
vendome(2);v A n d @U m;vɑndoʊm
ede;i: d;iːd
wandered;w A n d 3:r d;wɑndɜ:rd
jurek(2);j U r\ E k;jʊɹɛk
artwork;A r\ t w 3:r k;ɑɹtwɜ:rk
olasky;@U l { s k i:;oʊlæskiː
powder;p aU 4 3:r;p?ɾɜ:r
confessed;k @ n f E s t;kənfɛst
bender;b E n d 3:r;bɛndɜ:r
yuppies;j V p i: z;jʌpiːz
corina;k O: r\ i: n @;kOːɹiːnə
burkhammer;b 3:r k h @ m 3:r;bɜ:rkhəmɜ:r
preston's;p r\ E s t @ n z;pɹɛstənz
synthesized;s I n T i s aI z d;sɪnθis?zd
monteforte;m @U n t E f O: r\ 4 i:;moʊntɛfOːɹɾiː
unocal's;j u n @ k { l z;junəkælz
han's;h A n z;hɑnz
college;k A l i dZ;kɑli?
swiveling;s w I v @ l i N;swɪvəliŋ
mutualism;m j u tS @ w @ l I z @ m;mju?əwəlɪzəm
eternally;i t 3:r n @ l i:;itɜ:rnəliː
burn;b 3:r n;bɜ:rn
holverson;h A l v 3:r s @ n;hɑlvɜ:rsən
internorth;I n t 3:r n O: r\ T;ɪntɜ:rnOːɹθ
bonaduce(2);b A n @ 4 u s;bɑnəɾus
halving;h { v i N;hæviŋ
this'll;D I s @ l;ðɪsəl
shidler;S aI 4 @ l 3:r;ʃ?ɾəlɜ:r
ruthlessness;r\ u T l @ s n @ s;ɹuθləsnəs
olmo;@U l m @U;oʊlmoʊ
medigap;m E 4 i g { p;mɛɾigæp
dingler(2);d I N g l 3:r;dɪŋglɜ:r
viewer's;v j u 3:r z;vjuɜ:rz
olay;@U l eI;oʊl?
hoag;h @U g;hoʊg
grinage;g r\ I n i dZ;gɹɪni?
hashish(2);h @ S i: S;həʃiːʃ
ansa's;{ n s @ z;ænsəz
keezer;k i: z 3:r;kiːzɜ:r
shimon;S i: m @U n;ʃiːmoʊn
shughart;S V g h A r\ t;ʃʌghɑɹt
hamill;h { m @ l;hæməl
cancellation;k { n s @ l eI S @ n;kænsəl?ʃən
april's;eI p r\ @ l z;?pɹəlz
heckled;h E k @ l d;hɛkəld
rumblings;r\ V m b @ l i N z;ɹʌmbəliŋz
pasque;p { s k;pæsk
awe(2);O:;Oː
fernand(3);f 3:r n A n d;fɜ:rnɑnd
outmaneuvered;aU t m @ n u v 3:r d;?tmənuvɜ:rd
mccranie;m @ k r\ eI n i:;məkɹ?niː
epithelial;E p i T E l j @ l;ɛpiθɛljəl
ripkin;r\ I p k i n;ɹɪpkin
hasidic;h @ s I 4 i k;həsɪɾik
glass;g l { s;glæs
kopas;k @U p @ z;koʊpəz
bullhorn;b U l h O: r\ n;bʊlhOːɹn
levario;l eI v A r\ i: @U;l?vɑɹiːoʊ
fortier's(2);f O: r\ t j 3:r z;fOːɹtjɜ:rz
meriwether;m E r\ i w E D 3:r;mɛɹiwɛðɜ:r
sylvan;s I l v @ n;sɪlvən
jeffus;dZ E f @ s;?ɛfəs
gooley;g u l i:;guliː
reenact;r\ i: i n { k t;ɹiːinækt
parkhurst;p A r\ k h 3:r s t;pɑɹkhɜ:rst
outpaced;aU t p eI s t;?tp?st
sealy;s i: l i:;siːliː
wilcoxen;w i l k A k s @ n;wilkɑksən
mericopa;m E r\ @ k @U p @;mɛɹəkoʊpə
unquestionably;@ n k w E s tS @ n @ b l i:;ənkwɛs?ənəbliː
undressing;@ n d r\ E s i N;əndɹɛsiŋ
watland;w A t l @ n d;wɑtlənd
toussie;t u s i:;tusiː
calf;k { f;kæf
stifling(2);s t aI f @ l i N;st?fəliŋ
grandfather's(2);g r\ { n f A D 3:r z;gɹænfɑðɜ:rz
rabi;r\ A b i:;ɹɑbiː
roubal;r\ u b { l;ɹubæl
zurich's;z U r\ i k s;zʊɹiks
niguel;n i g E l;nigɛl
